département,catégorie,ville,salaire
Tarn-et-Garonne,Ouvrier,Verdun-sur-Garonne,11.6
Var,Cadre,Ramatuelle,47.1
Var,Profession,Carqueiranne,27.6
Var,Employé,Seillons-Source-d'Argens,12.7
Var,Ouvrier,Pourrières Ramatuelle,12.6
Vaucluse,Cadre,Velleron,31.6
Vaucluse,Profession,Mornas,17.4
Vaucluse,Employé,Mornas,12.3
Vaucluse,Ouvrier,Caderousse,11.9
Vendée,Cadre,Saint-Martin-des-Noyers,30.5
Vendée,Profession,Mouilleron-le-Captif,16.1
Vendée,Employé,Cugand Rives-d'Autise,12.7
Vendée,Ouvrier,L'Île-d'Yeu,12.3
Vienne,Cadre,Lusignan,29.3
Vienne,Profession,Lussac-les-Châteaux,18.7
Vienne,Employé,Valence-en-Poitou Quinçay,13.3
Vienne,Ouvrier,Thuré,12.7
Haute-Vienne,Cadre,Saint-Just-le-Martel,30.8
Haute-Vienne,Profession,Rochechouart,16.8
Haute-Vienne,Employé,Saint-Gence,12.8
Haute-Vienne,Ouvrier,Rochechouart,12
Vosges,Cadre,Étival-Clairefontaine,29.6
Vosges,Profession,Vittel,18.5
Vosges,Employé,Xertigny,11.9
Vosges,Ouvrier,Vittel,13.8
Yonne,Cadre,Saint-Georges-sur-Baulche,29.1
Yonne,Profession,Chevannes,17.6
Yonne,Employé,Saint-Georges-sur-Baulche,13.5
Yonne,Ouvrier,Champigny,12.2
Territoire de Belfort,Cadre,Valdoie,44
Territoire de Belfort,Profession,Évette-Salbert,17.4
Territoire de Belfort,Employé,Offemont,11.9
Territoire de Belfort,Ouvrier,Évette-Salbert,12.1
Essonne,Cadre,Bièvres,44.1
Essonne,Profession,Étiolles,20.4
Essonne,Employé,Étiolles,14.9
Essonne,Ouvrier,Fontenay-lès-Briis,14.2
Hauts-de-Seine,Cadre,Neuilly-sur-Seine,62.3
Hauts-de-Seine,Profession,Neuilly-sur-Seine,24.6
Hauts-de-Seine,Employé,Neuilly-sur-Seine,14.4
Hauts-de-Seine,Ouvrier,Neuilly-sur-Seine Le Plessis-Robinson,12.6
Seine-Saint-Denis,Cadre,Le Raincy,30.7
Seine-Saint-Denis,Profession,Gournay-sur-Marne,17.4
Seine-Saint-Denis,Employé,Gournay-sur-Marne,13.5
Seine-Saint-Denis,Ouvrier,Gournay-sur-Marne,13.1
Val-de-Marne,Cadre,Marolles-en-Brie,35.9
Val-de-Marne,Profession,Mandres-les-Roses,18.9
Val-de-Marne,Employé,Périgny,14.4
Val-de-Marne,Ouvrier,Noiseau,13.7
Val-d'Oise,Cadre,Saint-Witz,38.7
Val-d'Oise,Profession,Saint-Witz,20.5
Val-d'Oise,Employé,Saint-Witz,15.8
Val-d'Oise,Ouvrier,Chaumontel,14.1
Guadeloupe,Cadre,Bouillante,34
Guadeloupe,Profession,Deshaies,19.5
Guadeloupe,Employé,Petit-Bourg,13.1
Guadeloupe,Ouvrier,Le Moule Petit-Bourg,11.9
Martinique,Cadre,Le François,42.4
Martinique,Profession,Le Diamant,18
Martinique,Employé,Basse-Pointe,12.5
Martinique,Ouvrier,Basse-Pointe,14.6
Guyane,Cadre,Kourou,36.9
Guyane,Profession,Kourou,22.1
Guyane,Employé,Montsinéry-Tonnegrande,14.1
Guyane,Ouvrier,Montsinéry-Tonnegrande,12.6
La Réunion,Cadre,La Possession,30.4
La Réunion,Profession,La Possession,17.2
La Réunion,Employé,La Possession,11.6
La Réunion,Ouvrier,La Possession,12.9
