Ville,Categorie,Difference de salaire (%)
Creuzier-le-Vieux,Ouvrier,4.55
Cusset,Cadre,14.17
Cusset,Profession,4.87
Cusset,Employé,3.03
Cusset,Ouvrier,5.94
Désertines,Cadre,11.17
Désertines,Profession,10.32
Désertines,Employé,2.91
Désertines,Ouvrier,10.48
Domérat,Cadre,10.89
Domérat,Profession,7.53
Domérat,Employé,2.94
Domérat,Ouvrier,7.41
Dompierre-sur-Besbre,Cadre,8.84
Dompierre-sur-Besbre,Profession,5.97
Dompierre-sur-Besbre,Employé,5.26
Dompierre-sur-Besbre,Ouvrier,9.86
Gannat,Cadre,10.76
Gannat,Profession,9.43
Gannat,Employé,5.0
Gannat,Ouvrier,7.0
Huriel,Cadre,7.4
Huriel,Profession,11.03
Huriel,Employé,5.94
Huriel,Ouvrier,6.36
Lapalisse,Cadre,1.64
Lapalisse,Profession,5.35
Lapalisse,Employé,.55
Lapalisse,Ouvrier,4.92
Montluçon,Cadre,10.73
Montluçon,Profession,7.06
Montluçon,Employé,4.52
Montluçon,Ouvrier,10.55
Moulins,Cadre,11.32
Moulins,Profession,4.58
Moulins,Employé,1.52
Moulins,Ouvrier,8.42
Néris-les-Bains,Cadre,26.77
Néris-les-Bains,Profession,9.52
Néris-les-Bains,Employé,12.73
Néris-les-Bains,Ouvrier,14.29
Prémilhat,Cadre,8.83
Prémilhat,Profession,9.83
Prémilhat,Employé,3.88
Prémilhat,Ouvrier,7.63
Saint-Germain-des-Fossés,Cadre,10.58
Saint-Germain-des-Fossés,Profession,7.92
Saint-Germain-des-Fossés,Employé,6.4
Saint-Germain-des-Fossés,Ouvrier,5.37
Saint-Pourçain-sur-Sioule,Cadre,12.73
Saint-Pourçain-sur-Sioule,Profession,8.21
Saint-Pourçain-sur-Sioule,Employé,.99
Saint-Pourçain-sur-Sioule,Ouvrier,.46
Saint-Victor,Cadre,22.25
Saint-Victor,Profession,9.93
Saint-Victor,Employé,6.42
Saint-Victor,Ouvrier,5.83
Saint-Yorre,Cadre,11.01
Saint-Yorre,Profession,6.81
Saint-Yorre,Employé,2.49
Saint-Yorre,Ouvrier,7.91
Varennes-sur-Allier,Cadre,4.81
Varennes-sur-Allier,Profession,4.06
Varennes-sur-Allier,Employé,6.12
Varennes-sur-Allier,Ouvrier,4.35
Vendat,Cadre,8.82
Vendat,Profession,6.81
Vendat,Employé,3.77
Vendat,Ouvrier,7.91
Vichy,Cadre,13.62
Vichy,Profession,3.68
Vichy,Employé,2.56
Vichy,Ouvrier,6.74
Yzeure,Cadre,10.63
Yzeure,Profession,3.2
Yzeure,Employé,3.32
Yzeure,Ouvrier,9.9
Barcelonnette,Cadre,9.6
Barcelonnette,Profession,7.98
Barcelonnette,Employé,1.04
Barcelonnette,Ouvrier,3.52
Château-Arnoux-Saint-Auban,Cadre,5.39
Château-Arnoux-Saint-Auban,Profession,10.25
Château-Arnoux-Saint-Auban,Employé,9.09
Château-Arnoux-Saint-Auban,Ouvrier,11.65
Digne-les-Bains,Cadre,11.69
Digne-les-Bains,Profession,3.79
Digne-les-Bains,Employé,2.51
Digne-les-Bains,Ouvrier,14.29
Forcalquier,Cadre,7.62
Forcalquier,Profession,8.89
Forcalquier,Employé,4.9
Forcalquier,Ouvrier,2.56
Gréoux-les-Bains,Cadre,1.36
Gréoux-les-Bains,Profession,9.47
Gréoux-les-Bains,Employé,3.96
Gréoux-les-Bains,Ouvrier,9.09
Manosque,Cadre,11.79
Manosque,Profession,6.76
Manosque,Employé,2.97
Manosque,Ouvrier,9.55
Les Mées,Cadre,15.15
Les Mées,Profession,9.3
Les Mées,Employé,9.0
Les Mées,Ouvrier,5.31
Oraison,Cadre,9.57
Oraison,Profession,8.63
Oraison,Employé,5.99
Oraison,Ouvrier,6.67
Peyruis,Cadre,10.2
Peyruis,Profession,10.95
Peyruis,Employé,7.62
Peyruis,Ouvrier,9.95
Pierrevert,Cadre,12.48
Pierrevert,Profession,12.62
Pierrevert,Employé,7.56
Pierrevert,Ouvrier,7.04
Sainte-Tulle,Cadre,9.91
Sainte-Tulle,Profession,11.78
Sainte-Tulle,Employé,3.96
Sainte-Tulle,Ouvrier,6.22
Sisteron,Cadre,5.94
Sisteron,Profession,13.7
Sisteron,Employé,4.85
Sisteron,Ouvrier,13.04
Valensole,Cadre,9.63
